job_class,sum
销售总监、业务分析经理/主管,4
技术文员/助理、图书管理员/资料管理员,1
分销专员/助理、销售代表,4
技术支持工程师/技术员、商务专员/助理,1
半导体技术硬件测试工程师,10
营运经理、生产计划/物料管理,1
法务经理,19
激光/光电子技术,62
商务助理销售行政助理,19
销售专员/助理、客服专员/助理,14
质量管理、测试工程师/技术员、质检员/测试员,17
销售主管大客户销售,4
仓库经理/主管、仓库管理员,7
电气工程师/技术员、软件工程师/技术员,4
电气工程师/技术员、自动控制工程师/技术员,28
移动开发工程师,12
半导体技术电子技术研发工程师,7
活动策划、文案/策划,1
电子工程师/技术员、工业工程师/技术员,1
客服专员/助理、商务专员/助理,6
射频工程师/技术员、集成电路IC设计/应用工程师,4
文员、行政专员/助理,4
机械工程师项目管理,4
知识产权/专利/商标,62
维修工程师,63
技术支持工程师/技术员、技术支持经理/主管,20
软件工程师.NET开发工程师,1
半导体技术版图设计工程师,3
软件工程师软件测试工程师,5
助理业务跟单英语翻译,1
人事专员/助理,173
体系工程师,61
技术支持工程师/技术员、光源与照明工程,2
项目执行/协调人员、项目经理/主管,5
订单处理员,13
讲师,2
销售行政专员商务经理,1
软件测试工程师硬件测试工程师,15
行政专员/助理、后勤,6
软件工程师高级软件工程师,53
算法工程师/技术员、集成电路IC设计/应用工程师,1
行政专员/助理,201
嵌入式软件开发软件工程师,39
装配工程师/技术员,30
销售专员/助理、客户经理/主管,1
业务分析经理/主管、销售经理/主管,7
质量管理、测试工程师/技术员、质量管理、测试经理/主管、,17
采购主管采购员,6
人事专员/助理、行政专员/助理,10
光源与照明工程、激光/光电子技术,5
机械工程师/技术员、工艺工程师/技术员,4
储备干部生产主管,1
基金项目经理/主管,13
FAE 现场应用工程师/技术员、电子工程师/技术员,8
工业设计,47
高级软件工程师软件工程师,93
射频工程师电子技术研发工程师,1
客服专员/助理、销售代表,21
电子技术研发工程师高级硬件工程师,2
培训讲师,13
维修工程师半导体技术,1
市场/营销/拓展经理/主管、市场专员/助理,2
技术文员/助理,47
区域销售经理销售代表,4
产品经理/主管、市场/营销/拓展经理/主管,14
客服专员/助理、前台接待,1
嵌入式软件开发,399
嵌入式硬件开发,63
组装工,29
商务专员/助理、商务经理/主管,9
电工,60
集成电路IC设计/应用工程师、版图设计工程师/技术员,13
其他高级软件工程师,1
销售助理销售行政助理,24
嵌入式软件开发嵌入式硬件开发,21
软件工程师移动开发工程师,10
项目经理,94
通信技术工程师其他,1
电子工艺工程师,35
普工、操作工、数控操机,2
网站运营专员,14
FAE 现场应用工程师/技术员、音响工程师/技术员,1
硬件工程师/技术员、集成电路IC设计/应用工程师,6
销售行政专员,35
FAE 现场应用工程师电子软件开发,7
系统测试硬件测试工程师,3
仿真应用工程师结构工程师,1
硬件工程师/技术员、电子工程师/技术员,26
前台接待、后勤,1
维修工程师/技术员、工程设备经理/主管、,2
软件工程师系统工程师,12
系统工程师/技术员、电子工程师/技术员,3
设备工程师/技术员、电气工程师/技术员,3
销售总监,78
嵌入式硬件开发、集成电路IC设计/应用工程师,3
外贸专员/助理、客服专员/助理,1
Web前端开发,107
实习生,78
平面设计师,51
法务经理/主管、法务专员/助理,57
软件工程师/技术员、技术总监/经理,2
折弯工技工,1
给排水/暖通工程,17
工艺工程师/技术员、产品经理/主管,6
Web前端开发软件工程师,19
软件工程师Python开发工程师,2
销售行政助理、行政专员/助理,1
电子工程师/技术员、技术研发工程师/技术员,3
网络管理、技术支持工程师/技术员,7
理货员收货员,1
税务专员/助理,6
软件工程师/技术员、C/C++开发工程师/技术员,27
市场/营销/拓展专员、市场专员/助理,9
音响工程师/技术员,15
切割技工模具工,1
销售行政专员销售工程师,2
系统工程师/技术员、技术支持工程师/技术员,4
工程设备经理/主管、工程设备经理/主管、,1
采购员采购主管,14
财务专员/助理、税务专员/助理,1
电子软件开发嵌入式软件开发,56
市场助理销售助理,3
网络推广专员,13
成本管理员,14
客户经理/主管,50
激光/光电子技术、电子销售工程师/技术员,2
销售代表销售经理,19
技术研发工程师,97
生产主管,70
硬件工程师嵌入式硬件开发,26
版图设计工程师/技术员、电子工程师/技术员,12
区域销售经理,56
销售助理业务跟单,1
移动开发工程师嵌入式软件开发,1
半导体技术销售工程师,4
产品规划工程师技术研发工程师,1
多媒体开发工程师游戏开发工程师,1
采购员/助理、行政专员/助理,2
经销商销售助理,1
硬件工程师软件工程师,7
化工实验室研究员/技术员、质检员/测试员,1
化工实验室研究员/技术员,34
系统测试,25
项目主管系统测试,1
硬件测试工程师软件测试工程师,4
射频芯片设计,27
测试主管测试经理,1
电子技术研发工程师半导体技术,6
FAE 现场应用工程师/技术员、集成电路IC设计/应用工程师,15
硬件测试工程师半导体技术,4
光源与照明工程,16
工厂经理/厂长、副总经理/副总裁,2
硬件测试工程师/技术员、电子工程师/技术员,10
自动控制工程师/技术员,41
数据库工程师软件工程师,1
机电工程师建筑机电工程师,2
机械工程师技术研发工程师,23
数据库工程师统计员,1
质量管理、测试经理/主管、测试经理/主管,1
供应商管理,48
业务跟单,30
学徒工、普工、操作工,2
销售专员/助理、商务经理/主管,5
IC验证工程师半导体技术,3
市场/营销/拓展总监、市场/营销/拓展经理/主管,7
大客户管理,46
芯片销售工程师销售工程师,3
销售经理大客户管理,10
医疗器械研发,19
电子技术研发工程师医疗器械研发,3
质量管理、测试工程师/技术员、体系工程师/技术员,5
系统架构设计师高级软件工程师,4
生产经理/主管、生产领班/组长,8
物流主管,4
法务经理/主管、知识产权/专利/商标,1
采购员供应商开发,16
市场企划专员,23
硬件工程师测试工程师,2
楼宇自动化,13
锅炉工,2
机械工程师机电工程师,8
人事主管人事经理,6
培训生,11
算法工程师软件工程师,11
销售经理销售工程师,35
算法工程师高级软件工程师,9
通信技术工程师/技术员、电子工程师/技术员,5
软件工程师通信技术工程师,4
区域销售经理大客户销售,5
自动控制工程师/技术员、电气工程师/技术员,11
IC验证工程师其他,2
机械工程师/技术员、化工工程师/技术员,1
化工工程师/技术员,30
项目经理/主管,72
项目经理/主管、项目经理/主管,14
区域销售经理销售经理,6
其他销售行政助理,1
电商运营,42
算法工程师通信技术工程师,3
组装工技工,3
软件工程师UI设计师,3
工程设备经理/主管、,26
销售代表电话销售,8
采购经理,47
CNC工程师/技术员、技术支持工程师/技术员,1
业务分析经理/主管、业务分析专员/助理,1
电子设备工程师,17
项目经理项目管理,10
UI设计师,26
产品经理/主管、机器视觉工程师/技术员,1
前台接待、行政专员/助理,23
销售行政助理、客服专员/助理,7
折弯工切割技工,1
助理业务跟单,4
电子工程师/技术员、激光/光电子技术,3
客服专员/助理、客户经理/主管,3
物料经理/主管、物料专员/助理、供应链主管/专员,1
销售代表、商务经理/主管,2
技术支持经理/主管、技术支持工程师/技术员,12
销售行政助理商务助理,17
电子工程师/技术员、工艺工程师/技术员,11
仓库管理员仓储理货员,19
仓库经理/主管,29
业务分析经理/主管,56
技术支持经理/主管,19
生产文员半导体工艺工程师,1
电子技术研发工程师硬件测试工程师,1
集成电路IC设计/应用工程师、质量管理、测试工程师/技术员,2
应届毕业生,114
可靠度工程师故障分析工程师,3
涂料研发工程师/技术员、化工工程师/技术员,3
电气工程师/技术员、技术支持工程师/技术员,1
工业设计、平面设计师,1
电气工程师/技术员、集成电路IC设计/应用工程师,1
市场/营销/拓展经理/主管、市场/营销/拓展专员,2
自动控制工程师/技术员、维修工程师/技术员,1
射频工程师FAE 现场应用工程师,1
后勤其他,3
人事助理,66
大客户销售销售经理,19
单证员、物流专员/助理,2
产品经理/主管、产品专员/助理,6
焊接工程师/技术员,27
版图设计工程师/技术员、集成电路IC设计/应用工程师,17
IC验证工程师/技术员、电子工程师/技术员,1
高级软件工程师嵌入式软件开发,9
商务经理/主管,57
功能测试软件测试工程师,3
市场/营销/拓展专员,77
安全员、安全工程师/技术员,3
人事主管人事专员,3
电商专员,15
C#开发工程师,14
行政专员/助理、体系工程师/技术员,1
射频工程师/技术员、电子工程师/技术员,9
集成电路IC设计/应用工程师、数字前端工程师/技术员,23
生产经理/车间主任,31
生产跟单,1
电子工程师/技术员、技术支持工程师/技术员,5
系统工程师软件工程师,5
算法工程师系统架构设计师,1
大客户销售,140
生产主管工业工程师,1
设备工程师/技术员、机械工程师/技术员,3
集成电路IC设计/应用工程师、射频工程师/技术员,11
生产计划/物料管理、物流专员/助理,1
技术文档工程师,15
用户体验设计师,9
采购经理采购主管,14
嵌入式硬件开发嵌入式软件开发,15
分销经理/主管、区域销售经理/主管,2
分销经理/主管,60
激光/光电子技术、市场分析/调研人员,1
技术支持工程师/技术员、电工,1
销售工程师半导体技术,6
建筑制图/模型/渲染、室内设计,1
技术总监/经理、技术支持工程师/技术员,2
集成电路IC设计/应用工程师、器件工程师/技术员,1
生产文员,57
技术支持工程师/技术员、网络管理,6
软件工程师嵌入式软件开发,27
成本经理/主管、会计,1
外贸专员/助理、光源与照明工程,1
平面设计师商务助理,1
自动控制工程师/技术员、软件工程师/技术员,2
质量管理、测试经理/主管、供应商管理,3
硬件工程师/技术员、技术支持工程师/技术员,4
网络管理网络维修,2
其他技工,3
市场/营销/拓展总监,33
日语翻译、韩语/朝鲜语翻译,1
技术文员/助理、经理助理、秘书,2
质量管理、测试经理/主管、质检员/测试员,3
质检员/测试员、质量管理、测试工程师/技术员,24
销售行政专员销售行政助理,8
技术支持工程师/技术员、多媒体开发工程师/技术员,1
销售代表、知识产权/专利/商标,1
工程/机械绘图员、版图设计工程师/技术员,1
技术文档工程师/技术员、技术文员/助理,3
机械工程师/技术员、自动控制工程师/技术员,1
首席技术执行官CTO、首席信息官CIO、技术总监/经理,3
技术研发经理/主管、总工程师/技术员、副总工程师/技术员,2
销售助理销售工程师,4
结构工程师/技术员、项目经理/主管,1
机电工程师/技术员、工艺工程师/技术员,1
销售代表区域销售经理,4
电路工程师,29
大客户销售大客户管理,9
总监/部门经理,16
软件工程师其他,3
招商/租赁/租售,5
变压器与磁电工程师,6
运营专员,19
中医科医生,1
系统集成工程师软件工程师,1
建筑制图/模型/渲染,4
项目执行/协调人员,43
行政经理/主管、办公室主任,32
新媒体运营,38
行政专员/助理、商务专员/助理,3
质量管理、测试经理/主管、体系工程师/技术员,4
软件工程师汽车电子工程师,1
汽车电子工程师软件工程师,2
技术研发经理/主管、机械工程师/技术员,2
建筑工程管理、项目经理/主管,24
维修工程师电工,1
财务经理,62
生产经理/主管、生产计划/物料管理,5
通信技术工程师,49
模具工程师,18
硬件工程师其他,1
销售总监、市场/营销/拓展总监,5
机械工程师/技术员、工程/机械绘图员,12
硬件工程师/技术员、技术总监/经理,2
嵌入式软件开发其他,2
搬运工,2
电子技术研发工程师其他,2
电子技术研发工程师电子软件开发,8
销售经理区域销售经理,15
仓库管理员、物料经理/主管、物料专员/助理,10
集成电路IC设计/应用工程师、嵌入式软件开发,4
电子软件开发,86
仓储理货员,19
销售行政助理、业务分析专员/助理,4
水利/水电工程师/技术员,4
激光/光电子技术、电子工程师/技术员,4
电子工程师/技术员、版图设计工程师/技术员,5
芯片测试工程师嵌入式软件开发,1
采购员买手,3
网店店长、美工/电商设计师,1
模拟版图工程师版图设计工程师,9
仓库管理员、仓库经理/主管,8
软件工程师图像算法工程师,1
总工程师/技术员、副总工程师/技术员、项目经理/主管,2
销售经理/主管、业务分析经理/主管,24
磨工,8
技术研发工程师/技术员、电子工程师/技术员,2
销售助理销售行政专员,12
机械工程师结构工程师,22
装配工程师/技术员、机械工程师/技术员,1
行政专员/助理、质量管理、测试工程师/技术员,1
供应商管理供应商质量工程师,1
医疗器械注册,4
硬件工程师系统工程师,2
采购助理采购员,17
业务分析经理/主管、区域销售经理/主管,3
半导体技术其他,8
线上运营专员、线上运营经理/主管、,3
FPGA开发工程师,57
其他系统工程师,1
其他其他,14
销售代表销售主管,8
化工实验室研究员/技术员、化工工程师/技术员,5
客户代表其他,1
会计成本管理员,5
软件工程师需求工程师,1
硬件工程师系统架构设计师,2
安全工程师/技术员,43
货运司机,9
行政专员/助理、采购员/助理,3
机电工程师技术研发工程师,3
市场/营销/拓展经理/主管、媒介经理/主管,1
设备工程师/技术员、技术支持工程师/技术员,4
大客户管理区域销售经理,3
技术支持工程师/技术员、销售专员/助理,2
汽车电子工程师,26
技术研发经理/主管、工程设备经理/主管、,1
电子技术研发工程师半导体工艺工程师,2
音响工程师/技术员、音效师,1
销售工程师医药技术研发人员,1
服装纺织质检员,3
机电工程师机械工程师,5
活动策划、产品专员/助理,1
硬件测试工程师电子技术研发工程师,4
激光/光电子技术、仪器/仪表/计量分析师,2
射频工程师其他,3
网站运营总监网站运营专员,1
生产经理/车间主任、工厂经理/厂长,2
标准化工程师测试经理,1
工艺工程师/技术员、结构工程师/技术员,2
数控操机,27
电工、电气工程师/技术员,2
空调工,6
出纳员会计,6
工艺工程师/技术员、产品专员/助理,2
通信电源工程师硬件工程师,1
保安人员,6
工程设备经理/主管、生产经理/车间主任,1
电子工程师/技术员、自动控制工程师/技术员,9
销售行政助理销售助理,24
生产经理/主管、生产经理/车间主任,5
Android开发工程师,74
激光/光电子技术、技术研发工程师/技术员,4
招投标管理,13
文员,76
网络工程师,64
安全经理/主管、安全工程师/技术员,3
销售行政助理销售行政专员,12
市场分析/调研人员,12
出纳员会计助理,4
市场企划经理/主管,22
技工电工,4
销售工程师芯片销售工程师,6
经理助理、秘书、行政专员/助理,5
销售主管大客户管理,4
销售工程师销售经理,15
行政专员/助理、韩语/朝鲜语翻译,1
建筑工程验收、质量管理、测试工程师/技术员,2
业务分析经理/主管、大客户管理,4
外贸专员/助理、业务跟单,11
工程/机械绘图员、机械工程师/技术员,5
硬件工程师电子技术研发工程师,14
其他软件工程师,1
销售工程师客户代表,14
销售工程师销售主管,10
销售经理/主管、销售行政助理,1
FAE 现场应用工程师通信技术工程师,1
市场企划经理/主管、促销主管/督导/巡店,1
光源与照明工程技术研发工程师,2
维修工程师/技术员、设备工程师/技术员,9
电子技术研发工程师销售工程师,1
结构工程师模具工程师,3
产品专员/助理,17
销售总监大客户管理,3
销售总监销售主管,1
电子工程师/技术员、嵌入式软件开发,5
安全工程师/技术员、质检员/测试员,1
焊工,19
电子软件开发无线通信工程师,1
销售经理/主管、市场/营销/拓展经理/主管,18
可靠度工程师,23
市场助理商务助理,3
半导体文档工程师,5
项目经理/主管、项目工程师/技术员,4
焊工氩弧焊工,5
网络销售/在线销售,31
其他营运主管,1
汽车电子工程师发动机工程师,1
仪器/仪表/计量分析师、电子工程师/技术员,2
漆工喷塑工,1
销售工程师/技术员、网络销售/在线销售,4
质量管理、测试经理/主管、质量管理、测试工程师/技术员、,12
电子工程师/技术员、射频工程师/技术员,2
嵌入式软件开发算法工程师,4
人事经理/主管,26
钳工,21
FAE 现场应用工程师半导体技术,2
网络工程师网络管理,6
客户代表,11
外贸专员/助理、外贸经理/主管,6
集成电路IC设计/应用工程师、技术总监/经理,1
销售工程师/技术员、外贸专员/助理,1
普工、操作工、组装工,31
市场企划专员市场助理,3
结构工程师工业工程师,1
数字前端工程师,60
高级硬件工程师电子软件开发,2
工业设计、文案/策划,1
切割技工,10
硬件测试工程师/技术员、电源开发工程师/技术员,2
其他销售经理,1
审计经理/主管、审计专员/助理,1
系统架构设计师软件工程师,1
工艺工程师/技术员、激光/光电子技术,1
ERP技术开发ERP实施顾问,2
高级软件工程师数据库工程师,1
市场分析/调研人员、产品经理/主管,2
性能测试半导体测试工程师,1
单证员、船务/空运陆运,1
技术研发工程师/技术员、工艺工程师/技术员,6
文案/策划、市场/营销/拓展专员,1
化学老师,2
网店客服,13
硬件测试工程师产品规划工程师,2
集成电路IC设计/应用工程师、工艺工程师/技术员,4
市场分析/调研人员、市场专员/助理,2
出纳员、财务专员/助理,14
芯片测试工程师IC验证工程师,2
嵌入式软件开发、技术支持工程师/技术员,1
商务经理/主管、销售代表,2
人事专员人事助理,5
销售主管客户代表,1
供应链主管/专员,21
培训专员/助理,18
硬件测试工程师生产主管,1
结构工程师/技术员、工业设计,10
实验室负责人/工程师/技术员,21
生产文员统计员,1
商务助理市场助理,1
可测性设计工程师,21
Java开发工程师,100
大客户管理销售经理,5
中学教师小学教师,7
销售代表销售助理,10
总裁助理、总经理助理、行政总监,1
化工工程师/技术员、技术研发工程师/技术员,4
射频工程师无线通信工程师,7
采购主管,45
高级软件工程师系统架构设计师,5
仿真应用工程师其他,1
项目主管网络工程师,1
生产经理/车间主任、生产经理/主管,11
项目经理/主管、建筑工程管理、项目经理/主管,2
分销经理/主管、销售经理/主管,2
嵌入式软件开发汽车电子工程师,11
线上运营经理/主管、,10
业务跟单、外贸专员/助理,8
安全员、安全经理/主管,2
氩弧焊工技工,1
人事经理/主管、行政经理/主管、办公室主任,9
商务助理销售行政专员,3
客服经理/主管、网络销售/在线销售,1
FAE 现场应用工程师/技术员、电源开发工程师/技术员,3
技术支持工程师/技术员、安防系统工程师/技术员,1
网络管理网络工程师,6
嵌入式硬件开发硬件工程师,18
嵌入式软件开发高级软件工程师,17
数控操机数控编程,10
结构工程师/技术员、电子工程师/技术员,1
技术文员/助理、项目工程师/技术员,1
采购员/助理,3
审计经理/主管,14
技术支持工程师/技术员、项目经理/主管,1
Web前端开发高级软件工程师,1
系统工程师,87
软件测试工程师功能测试,1
通信技术工程师硬件工程师,2
注塑工,8
硬件测试工程师/技术员、集成电路IC设计/应用工程师,11
美工/电商设计师,29
销售助理商务助理,17
热能工程师/技术员,6
分销经理/主管、销售工程师/技术员,1
物料经理/主管、物料专员/助理、物流专员/助理,2
英语翻译,10
销售代表、销售经理/主管,2
买手采购员,2
总工程师/技术员、副总工程师/技术员、电子工程师/技术员,1
大客户销售销售总监,2
文案/策划、产品专员/助理,1
产品经理/主管、产品工程师、采购经理/主管,1
财务经理/主管、会计,6
订单处理员仓库管理员,1
电子工程师/技术员、FAE 现场应用工程师/技术员,7
平面设计师资料员,1
测试经理/主管、项目执行/协调人员,1
资料员,5
软件工程师系统集成工程师,1
软件工程师系统架构设计师,4
人事专员/助理、总裁助理、总经理助理,1
机械工程师/技术员、夹具工程师/技术员,1
石油天然气技术人员机电工程师,1
供应商管理其他,1
网络销售/在线销售、电话销售,2
体系工程师审核员,2
房地产中介/置业顾问,5
网络安全工程师,20
空调工电工,1
媒介专员/助理、市场/营销/拓展专员,1
图像算法工程师算法工程师,5
营运经理,20
外贸经理/主管、外贸专员/助理,6
FAE 现场应用工程师其他,4
电子工程师/技术员、电子产品经理/主管、产品工程师,1
销售专员/助理、市场/营销/拓展专员,2
芯片销售工程师销售总监,1
硬件工程师/技术员、电源开发工程师/技术员,2
技术研发工程师电子技术研发工程师,2
版图设计工程师模拟版图工程师,18
电力线路工其他,2
射频工程师技术研发工程师,1
系统工程师数据库工程师,1
无线通信工程师,21
电子技术研发工程师嵌入式硬件开发,3
化工工程师/技术员、机械工程师/技术员,1
公关经理、行政经理/主管、办公室主任,1
游戏开发工程师,3
仿真应用工程师,20
ERP技术开发,14
集成电路IC设计/应用工程师、自动控制工程师/技术员,1
市场/营销/拓展经理/主管、电子产品经理/主管、产品工程师,1
总裁助理、总经理助理、行政专员/助理,1
客户代表销售代表,7
客户代表大客户销售,4
生产文员采购助理,1
工业设计、版图设计工程师/技术员,1
芯片销售工程师电子销售工程师,4
销售工程师/技术员、工艺工程师/技术员,1
生产文员、生产计划/物料管理,2
客服专员/助理、网络销售/在线销售,4
焊接工程师/技术员、结构工程师/技术员,1
销售经理/主管、客户经理/主管,18
美工/电商设计师、网页设计师,1
互联网产品经理,4
氩弧焊工焊工,2
新能源电机工程师汽车结构工程师,1
电子技术研发工程师嵌入式软件开发,7
项目总监,8
质量管理、测试经理/主管、工程师/技术员,1
储备干部培训生,7
电子技术研发工程师硬件工程师,7
财务专员/助理、会计,10
销售主管FAE 现场应用工程师,1
IC验证工程师硬件测试工程师,1
市场分析/调研人员、市场/营销/拓展经理/主管,1
产品经理/主管、销售经理/主管,1
工艺工程师/技术员、技术研发经理/主管,1
销售助理半导体技术,1
集成电路IC设计/应用工程师、硬件测试工程师/技术员,4
采购助理销售助理,1
商务助理销售助理,4
硬件测试工程师FAE 现场应用工程师,4
商务助理采购助理,1
网页设计师、美工/电商设计师,1
质量管理、测试工程师/技术员、硬件测试工程师/技术员,1
硬件测试工程师硬件工程师,10
通信技术工程师无线通信工程师,5
其他系统分析员,1
Java开发工程师高级软件工程师,10
项目经理/主管、产品工程师,1
销售工程师商务经理,2
搬运工仓储理货员,1
互联网营销师,2
出纳员人事助理,1
IT经理/主管,27
机器视觉工程师高级软件工程师,2
业务分析经理/主管、商务经理/主管,2
维修工程师模具工程师,1
建筑机电工程师,2
安全员,15
建筑项目助理,2
促销员/导购员,7
普工、操作工、焊工,6
设备工程师/技术员、维修工程师/技术员,19
硬件测试工程师/技术员、质检员/测试员,2
生产文员订单处理员,1
高级软件工程师项目主管,1
科研人员,14
高级硬件工程师软件工程师,1
机电工程师维修工程师,2
半导体工艺工程师其他,3
证券/期货/外汇经纪人,6
维修专员/助理,1
软件工程师射频工程师,2
总裁助理、总经理助理、企业秘书/董事会秘书,3
销售主管区域销售经理,1
模具工程师/技术员、夹具工程师/技术员,1
电话销售销售代表,5
水处理工程师,14
车工,6
新媒体运营、线上运营经理/主管、,1
销售工程师电话销售,3
组装工、装配工程师/技术员,2
分销专员/助理、客户专员/助理,1
配置管理工程师,5
生产计划/物料管理、生产领班/组长,7
生产领班/组长、生产经理/主管,3
外贸经理/主管、电商运营,1
安防系统工程师其他,3
工厂经理/厂长、生产经理/主管,3
自动控制工程师/技术员、技术研发工程师/技术员,3
嵌入式软件开发FAE 现场应用工程师,4
硬件工程师硬件测试工程师,6
机电工程师,29
电子技术研发工程师电子设备工程师,1
认证工程师,9
软件测试工程师软件工程师,3
IC验证工程师电子技术研发工程师,1
技术员,5
集成电路IC设计/应用工程师、电子软件开发,5
质量管理,9
飞行器设计与制造,3
销售总监、副总经理/副总裁,1
汽车电子工程师汽车装配工艺工程师,1
无线通信工程师嵌入式软件开发,2
技术研发工程师结构工程师,4
新能源电控工程师嵌入式软件开发,1
生产经理/主管、工艺工程师/技术员,2
总裁助理、总经理助理,63
车工数控操机,2
数字前端工程师数字后端工程师,6
韩语/朝鲜语翻译、芯片销售工程师/技术员,1
仓库管理员、物流专员/助理,3
FAE 现场应用工程师嵌入式硬件开发,1
网络管理硬件工程师,1
