job_class,sum
电气工程师/技术员电路工程师/技术员(模拟/数字),5
技术支持/维护工程师电子/电器维修工程师/技师,3
技术支持/维护工程师技术支持/维护经理,6
集成电路IC设计/应用工程师模拟芯片工程师,37
市场/营销/拓展经理,96
行政专员/助理经理助理/秘书,4
工程/机械绘图员工业设计/产品设计,4
集成电路IC设计/应用工程师FAE 现场应用工程师,14
其他质量管理/测试工程师(QA/QC工程师),1
技工,114
大客户销售客户代表,10
普工/操作工技工,29
销售经理大客户销售,19
销售经理销售主管,36
销售主管,51
销售行政经理/主管,14
商务主管/专员商务助理,5
IC验证工程师集成电路IC设计/应用工程师,11
大客户销售渠道/分销经理,1
半导体工艺工程师产品工艺/制程工程师,17
结构工程师,118
销售总监业务拓展主管/经理,4
技术文员/助理图书管理员/资料管理员,1
渠道/分销专员销售代表,4
售前/售后技术支持工程师商务助理,1
电路工程师/技术员(模拟/数字)电子技术研发工程师,10
半导体技术硬件测试工程师,10
营运经理生产计划/物料管理(PMC),1
法务经理,19
激光/光电子技术,55
商务助理销售行政助理,19
销售助理客服专员/助理,9
质量管理/测试工程师(QA/QC工程师)质检员/测试员(QC),17
半导体技术集成电路IC设计/应用工程师,8
销售主管大客户销售,4
仓库经理/主管仓库管理员,7
电气工程师/技术员软件工程师,4
电气工程师/技术员自动控制工程师/技术员,28
移动开发工程师,12
半导体技术电子技术研发工程师,7
活动策划文案/策划,1
电子工程师/技术员工业工程师,1
客服专员/助理商务助理,6
射频工程师集成电路IC设计/应用工程师,4
电脑操作员/打字员行政专员/助理,1
机械工程师项目管理,4
知识产权/专利/商标,60
维修工程师,63
售前/售后技术支持工程师售前/售后技术支持主管,13
软件工程师.NET开发工程师,1
半导体技术版图设计工程师,3
软件工程师集成电路IC设计/应用工程师,7
软件工程师软件测试工程师,5
助理业务跟单英语翻译,1
招聘专员/助理人事助理,4
体系工程师,61
售前/售后技术支持工程师光源与照明工程,2
项目执行/协调人员项目管理,3
订单处理员,13
讲师/助教职业技术教师,1
销售行政专员商务经理,1
软件测试工程师硬件测试工程师,15
行政专员/助理后勤,6
软件工程师高级软件工程师,53
算法工程师集成电路IC设计/应用工程师,1
行政专员/助理,191
嵌入式软件开发(Linux/单片机/PLC/DSP…)软件工程师,39
装配工程师/技师,29
销售助理客户关系经理/主管,1
业务拓展主管/经理销售经理,7
质量管理/测试工程师(QA/QC工程师)质量管理/测试主管(QA/QC主管),16
采购主管采购员,6
人事专员行政专员/助理,5
光源与照明工程激光/光电子技术,5
机械工程师产品工艺/制程工程师,4
储备干部生产主管,1
资金专员资金经理/主管,1
FAE 现场应用工程师电子工程师/技术员,8
工业设计/产品设计,47
高级软件工程师软件工程师,93
射频工程师电子技术研发工程师,1
客服专员/助理销售行政助理,8
电子技术研发工程师高级硬件工程师,2
培训讲师,13
维修工程师半导体技术,1
市场/营销/拓展经理市场企划专员,1
技术文员/助理,40
区域销售经理销售代表,4
产品/品牌经理市场/营销/拓展经理,5
客服专员/助理前台接待/总机/接待生,1
嵌入式软件开发(Linux/单片机/PLC/DSP…),397
嵌入式硬件开发(主板机…),62
组装工,29
商务助理商务主管/专员,9
电工,59
集成电路IC设计/应用工程师版图设计工程师,13
其他高级软件工程师,1
销售助理销售行政助理,24
嵌入式软件开发(Linux/单片机/PLC/DSP…)嵌入式硬件开发(主板机…),21
软件工程师移动开发工程师,10
项目经理,94
通信技术工程师其他,1
电子工艺工程师,35
普工/操作工数控操机,2
质量管理/测试工程师(QA/QC工程师)其他,5
网站运营专员,14
电路工程师/技术员(模拟/数字)电子/电器维修工程师/技师,4
FAE 现场应用工程师电声/音响工程师/技术员,1
高级硬件工程师集成电路IC设计/应用工程师,4
销售行政专员,35
FAE 现场应用工程师电子软件开发(ARM/MCU...),7
系统测试硬件测试工程师,3
仿真应用工程师结构工程师,1
硬件工程师电子工程师/技术员,18
前台接待/总机/接待生后勤,1
维修工程师工程/设备主管,1
软件工程师系统工程师,12
系统工程师电子工程师/技术员,3
工程/设备工程师电气工程师/技术员,2
销售总监,74
其他集成电路IC设计/应用工程师,1
嵌入式硬件开发(主板机…)集成电路IC设计/应用工程师,3
贸易/外贸专员/助理网络/在线客服,1
Web前端开发,107
实习生,57
平面设计师,51
法务主管/专员法务助理,3
高级软件工程师技术总监/经理,2
折弯工技工,1
给排水/暖通工程管道/暖通,1
产品工艺/制程工程师产品规划工程师,5
Web前端开发软件工程师,19
软件工程师Python开发工程师,2
销售行政助理行政专员/助理,1
电子工程师/技术员技术研发工程师,3
网络管理(Helpdesk)技术支持/维护工程师,7
理货员收货员,1
税务专员/助理财务顾问,1
高级软件工程师C/C++开发工程师,7
市场/营销/拓展专员市场企划专员,4
电声/音响工程师/技术员,14
切割技工模具工,1
销售行政专员销售工程师,2
系统工程师技术支持/维护工程师,2
工程/设备主管工程/设备经理,1
电力工程师/技术员,16
采购员采购主管,14
财务助理/财务文员税务专员/助理,1
售前/售后技术支持工程师技术支持/维护工程师,28
电子软件开发(ARM/MCU...)嵌入式软件开发(Linux/单片机/PLC/DSP…),56
市场助理销售助理,3
网络推广专员,13
成本管理员,14
客户经理/主管,34
激光/光电子技术电子销售工程师,2
销售代表销售经理,19
技术研发工程师,97
生产主管,70
硬件工程师嵌入式硬件开发(主板机…),26
版图设计工程师电路工程师/技术员(模拟/数字),7
区域销售经理,56
销售助理业务跟单,1
移动开发工程师嵌入式软件开发(Linux/单片机/PLC/DSP…),1
半导体技术销售工程师,4
产品规划工程师技术研发工程师,1
多媒体开发工程师游戏开发工程师,1
采购员行政专员/助理,1
经销商销售助理,1
网络/在线客服,26
硬件工程师软件工程师,7
化工实验室研究员/技术员质检员/测试员(QC),1
化工实验室研究员/技术员,33
产品/品牌经理市场通路经理/主管,1
系统测试,25
项目主管系统测试,1
硬件测试工程师软件测试工程师,4
射频芯片设计,27
电池/电源开发,41
测试主管测试经理,1
电子技术研发工程师半导体技术,6
FAE 现场应用工程师集成电路IC设计/应用工程师,15
硬件测试工程师半导体技术,4
售前/售后技术支持工程师技工,1
光源与照明工程,16
工厂经理/厂长副总经理/副总裁,2
技工电子/电器维修工程师/技师,3
硬件测试工程师电子工程师/技术员,9
财务主管/总账主管,56
自动控制工程师/技术员,38
数据库工程师(DBA)软件工程师,1
机电工程师建筑机电工程师,2
产品/品牌经理,50
机械工程师技术研发工程师,23
数据库工程师(DBA)统计员,1
质量管理/测试经理(QA/QC经理)测试经理,1
供应商管理,48
业务跟单,30
学徒工普工/操作工,2
销售行政专员商务主管/专员,5
IC验证工程师半导体技术,3
工程/设备工程师,122
市场/营销/拓展总监市场/营销/拓展经理,7
大客户管理,46
芯片销售工程师销售工程师,3
会计财务助理/财务文员,8
销售经理大客户管理,10
医疗器械研发,19
电子技术研发工程师医疗器械研发,3
质量管理/测试工程师(QA/QC工程师)体系工程师,5
电子技术研发工程师集成电路IC设计/应用工程师,12
电子工程师/技术员电子技术研发工程师,48
系统架构设计师高级软件工程师,4
生产主管生产领班/组长,8
质量管理/测试经理(QA/QC经理),84
物流主管,4
法务经理知识产权/专利/商标,1
采购员供应商开发,16
市场企划专员,23
硬件工程师测试工程师,2
智能大厦/综合布线/安防/弱电楼宇自动化,10
锅炉工,2
机械工程师机电工程师,8
人事主管人事经理,6
培训生,11
算法工程师软件工程师,11
销售经理销售工程师,35
算法工程师高级软件工程师,9
通信技术工程师电子工程师/技术员,5
软件工程师通信技术工程师,4
区域销售经理大客户销售,5
自动控制工程师/技术员电气工程师/技术员,11
IC验证工程师其他,2
机械工程师化工技术应用/化工工程师,1
化工技术应用/化工工程师,29
项目经理/主管,61
项目经理/主管项目经理,8
区域销售经理销售经理,6
其他销售行政助理,1
电子工程师/技术员半导体技术,6
电商运营,41
算法工程师通信技术工程师,3
生物工程/生物制药其他,2
组装工技工,3
软件工程师UI设计师,3
工程/设备经理,11
销售代表电话销售,8
采购经理,47
CNC工程师售前/售后技术支持工程师,1
客服专员/助理销售助理,5
业务分析经理/主管业务分析专员/助理,1
电子设备工程师,17
项目经理项目管理,10
UI设计师,26
产品经理/主管机器视觉工程师,1
前台接待/总机/接待生行政专员/助理,23
销售行政助理客服专员/助理,7
折弯工切割技工,1
助理业务跟单,4
项目管理项目经理/主管,4
技工普工/操作工,12
电子/电器维修工程师/技师半导体技术,3
电子工程师/技术员激光/光电子技术,1
客服专员/助理客户关系经理/主管,2
物料主管/专员供应链主管/专员,1
汽车项目管理项目经理/主管,2
销售代表商务主管/专员,2
售前/售后技术支持主管售前/售后技术支持工程师,11
销售行政助理商务助理,17
电子技术研发工程师产品工艺/制程工程师,1
仓库管理员仓储理货员,19
仓库经理/主管,29
业务拓展主管/经理,52
人事专员招聘专员/助理,8
售前/售后技术支持主管,17
生产文员半导体工艺工程师,1
电子技术研发工程师硬件测试工程师,1
集成电路IC设计/应用工程师质量管理/测试工程师(QA/QC工程师),2
大学/大专应届毕业生,114
可靠度工程师故障分析工程师,3
涂料研发工程师化工技术应用/化工工程师,3
电气工程师/技术员售前/售后技术支持工程师,1
工业设计/产品设计平面设计师,1
电气工程师/技术员集成电路IC设计/应用工程师,1
电路工程师/技术员(模拟/数字)半导体技术,1
半导体技术电路工程师/技术员(模拟/数字),2
市场/营销/拓展主管市场/营销/拓展专员,2
自动控制工程师/技术员维修工程师,1
产品工艺/制程工程师半导体技术,1
半导体技术激光/光电子技术,2
射频工程师FAE 现场应用工程师,1
后勤其他,3
人事助理,66
大客户销售销售经理,19
单证员物流专员/助理,2
产品/品牌经理产品/品牌专员,2
焊接工程师/技师,26
版图设计工程师集成电路IC设计/应用工程师,17
IC验证工程师电路工程师/技术员(模拟/数字),1
高级软件工程师嵌入式软件开发(Linux/单片机/PLC/DSP…),9
集成电路IC设计/应用工程师电子技术研发工程师,20
商务主管/专员,46
功能测试软件测试工程师,3
技术支持/维护工程师售前/售后技术支持工程师,30
其他市场/营销/拓展专员,1
安全员环境/健康/安全工程师（EHS）,3
人事主管人事专员,3
电商专员,15
C#开发工程师,14
行政专员/助理体系工程师,1
电气/电器工程师电子技术研发工程师,1
射频工程师电子工程师/技术员,8
集成电路IC设计/应用工程师数字前端工程师,23
生产经理/车间主任,31
产品经理/主管,153
电子/电器维修工程师/技师技工,1
生产跟单,1
电子技术研发工程师售前/售后技术支持工程师,1
客服专员/助理销售代表,2
系统工程师软件工程师,5
算法工程师系统架构设计师,1
大客户销售,139
生产主管工业工程师,1
工程/设备工程师机械工程师,3
电子工程师/技术员汽车电子工程师,1
集成电路IC设计/应用工程师射频工程师,11
生产计划/物料管理(PMC)物流专员/助理,1
技术文档工程师,15
用户体验（UE/UX）设计师,9
实习生大学/大专应届毕业生,3
采购经理采购主管,14
嵌入式硬件开发(主板机…)嵌入式软件开发(Linux/单片机/PLC/DSP…),15
实习生财务助理/财务文员,1
渠道/分销经理区域销售经理,2
渠道/分销经理,29
实习生行政专员/助理,1
激光/光电子技术市场分析/调研人员,1
售前/售后技术支持工程师电工,1
实习生培训生,1
销售工程师半导体技术,6
建筑制图/模型/渲染室内设计,1
技术总监/经理售前/售后技术支持经理,1
集成电路IC设计/应用工程师半导体器件工程师,1
生产文员,57
技术支持/维护工程师网络管理(Helpdesk),3
软件工程师嵌入式软件开发(Linux/单片机/PLC/DSP…),27
会计会计经理/会计主管,5
成本经理/成本主管会计,1
贸易/外贸专员/助理光源与照明工程,1
平面设计师商务助理,1
自动控制工程师/技术员软件工程师,1
实习生人事助理,2
质量管理/测试经理(QA/QC经理)供应商管理,1
硬件工程师售前/售后技术支持工程师,1
税务专员/助理,5
网络管理(Helpdesk)网络维修,2
其他技工,3
市场/营销/拓展总监,32
日语翻译韩语/朝鲜语翻译,1
招聘专员/助理,90
技术文员/助理经理助理/秘书,2
售前/售后技术支持工程师维修工程师,4
质量管理/测试主管(QA/QC主管)质检员/测试员(QC),3
质检员/测试员(QC)质量管理/测试工程师(QA/QC工程师),24
销售行政专员销售行政助理,8
电气/电器工程师,10
技术支持/维护工程师多媒体开发工程师,1
销售代表知识产权/专利/商标,1
工程/机械绘图员版图设计工程师,1
技术文档工程师技术文员/助理,3
机械工程师自动控制工程师/技术员,1
首席技术执行官CTO/首席信息官CIO技术总监/经理,3
技术研发经理/主管总工程师/副总工程师,2
销售助理销售工程师,4
结构工程师项目经理/主管,1
机电工程师产品工艺/制程工程师,1
半导体技术电子工程师/技术员,8
销售代表区域销售经理,4
智能大厦/综合布线/安防/弱电,29
大客户销售大客户管理,9
区域销售经理渠道/分销经理,3
软件工程师其他,3
建筑工程管理/项目经理工程监理,1
变压器与磁电工程师,6
产品/品牌经理产品经理/主管,1
中医科医生,1
系统集成工程师软件工程师,1
建筑制图/模型/渲染,4
项目执行/协调人员,40
行政经理/主管/办公室主任,32
人事专员薪资福利专员/助理,2
新媒体运营,38
行政专员/助理商务助理,3
质量管理/测试经理(QA/QC经理)体系工程师,3
软件工程师汽车电子工程师,1
汽车电子工程师软件工程师,2
技术研发经理/主管机械工程师,2
建筑工程管理/项目经理项目管理,2
维修工程师电工,1
财务经理,62
法务主管/专员,46
生产主管生产计划/物料管理(PMC),5
行政专员/助理人事助理,8
通信技术工程师,49
模具工程师,18
硬件工程师其他,1
销售总监市场/营销/拓展总监,5
机械工程师工程/机械绘图员,12
售后服务/客户服务,22
高级硬件工程师技术总监/经理,2
嵌入式软件开发(Linux/单片机/PLC/DSP…)其他,2
搬运工,2
电子技术研发工程师其他,2
电子技术研发工程师电子软件开发(ARM/MCU...),8
销售经理区域销售经理,15
工程/设备工程师设备主管,1
仓库管理员物料主管/专员,10
集成电路IC设计/应用工程师嵌入式软件开发(Linux/单片机/PLC/DSP…),4
电子软件开发(ARM/MCU...),86
仓储理货员,19
销售行政助理业务分析专员/助理,4
水利/水电工程师,4
激光/光电子技术电子技术研发工程师,3
电子工程师/技术员版图设计工程师,5
芯片测试工程师嵌入式软件开发(Linux/单片机/PLC/DSP…),1
采购员买手,3
网店店长美工/电商设计师,1
软件工程师C/C++开发工程师,20
电话销售,26
质量管理/测试工程师(QA/QC工程师)半导体技术,2
模拟版图工程师版图设计工程师,9
仓库管理员仓库经理/主管,8
软件工程师图像算法工程师,1
总工程师/副总工程师项目经理/主管,2
销售经理业务拓展主管/经理,19
磨工,8
技术研发工程师电子工程师/技术员,2
自动控制工程师/技术员电子技术研发工程师,1
电子工程师/技术员电路工程师/技术员(模拟/数字),11
销售助理销售行政专员,12
机械工程师结构工程师,22
装配工程师/技师机械工程师,1
行政专员/助理质量管理/测试工程师(QA/QC工程师),1
供应商管理供应商质量工程师,1
医疗器械注册,4
硬件工程师系统工程师,2
采购助理采购员,17
业务拓展主管/经理区域销售经理,3
质量管理/测试经理(QA/QC经理)质量管理/测试主管(QA/QC主管),11
招聘专员/助理招聘经理/主管,3
半导体技术其他,8
网络推广专员网络推广经理/主管,1
FPGA开发工程师,57
其他系统工程师,1
其他其他,14
大客户管理客户经理/主管,4
销售代表销售主管,8
化工实验室研究员/技术员化工技术应用/化工工程师,5
客户代表其他,1
会计成本管理员,5
软件工程师需求工程师,1
电子工程师/技术员产品工艺/制程工程师,3
硬件工程师系统架构设计师,2
环境/健康/安全工程师（EHS）,40
货运司机,9
行政专员/助理采购助理,3
机电工程师技术研发工程师,3
市场/营销/拓展经理媒介经理,1
工程/设备工程师技术支持/维护工程师,2
大客户管理区域销售经理,3
售前/售后技术支持工程师销售行政专员,2
售前/售后技术支持经理售前/售后技术支持主管,7
电子工程师/技术员集成电路IC设计/应用工程师,5
汽车电子工程师,26
技术研发经理/主管工程/设备经理,1
电子技术研发工程师半导体工艺工程师,2
电声/音响工程师/技术员音效师,1
销售工程师医药技术研发人员,1
服装纺织质检员(QA/QC),3
机电工程师机械工程师,5
活动策划产品/品牌专员,1
硬件测试工程师电子技术研发工程师,4
激光/光电子技术仪器/仪表/计量分析师,2
电子/电器维修工程师/技师电子工程师/技术员,9
射频工程师其他,3
网站运营总监网站运营专员,1
生产经理/车间主任工厂经理/厂长,2
标准化工程师测试经理,1
产品工艺/制程工程师结构工程师,2
数控操机,27
电工电气工程师/技术员,1
空调工,6
出纳员会计,6
产品工艺/制程工程师产品/品牌专员,1
通信电源工程师硬件工程师,1
硬件工程师集成电路IC设计/应用工程师,2
保安人员,5
工程/设备经理生产经理/车间主任,1
电子工程师/技术员自动控制工程师/技术员,9
销售行政助理销售助理,24
生产主管生产经理/车间主任,5
Android开发工程师,74
激光/光电子技术技术研发工程师,4
招投标管理,13
电脑操作员/打字员,3
网络工程师(IT工程师),64
环境/健康/安全经理/主管（EHS）环境/健康/安全工程师（EHS）,3
销售行政助理销售行政专员,12
市场分析/调研人员,11
出纳员会计助理,4
市场企划经理/主管,19
技工电工,4
销售工程师芯片销售工程师,6
经理助理/秘书行政专员/助理,5
销售主管大客户管理,4
销售工程师销售经理,15
行政专员/助理韩语/朝鲜语翻译,1
建筑工程验收质量管理/测试工程师(QA/QC工程师),2
业务拓展主管/经理大客户管理,3
贸易/外贸专员/助理业务跟单,4
工程/机械绘图员机械工程师,5
硬件工程师电子技术研发工程师,14
招聘经理/主管,29
其他软件工程师,1
销售工程师客户代表,14
销售工程师销售主管,10
销售行政经理/主管销售行政助理,1
FAE 现场应用工程师通信技术工程师,1
市场企划经理/主管促销主管/督导/巡店,1
光源与照明工程技术研发工程师,2
电子/电器维修工程师/技师工程/设备工程师,2
电子技术研发工程师销售工程师,1
结构工程师模具工程师,3
产品/品牌专员,15
销售总监大客户管理,3
销售总监销售主管,1
电路工程师/技术员(模拟/数字)嵌入式软件开发(Linux/单片机/PLC/DSP…),2
环境/健康/安全工程师（EHS）质检员/测试员(QC),1
焊工,19
电子软件开发(ARM/MCU...)无线通信工程师,1
销售经理市场/营销/拓展经理,18
可靠度工程师,23
市场助理商务助理,3
半导体文档工程师,5
项目经理/主管项目工程师,4
焊工氩弧焊工,5
网络销售/在线销售,31
其他营运主管,1
汽车电子工程师发动机工程师,1
仪器/仪表/计量分析师电路工程师/技术员(模拟/数字),1
漆工喷塑工,1
销售工程师网络销售/在线销售,4
商务主管/专员商务经理,5
质量管理/测试主管(QA/QC主管)质量管理/测试工程师(QA/QC工程师),11
电路工程师/技术员(模拟/数字)射频工程师,1
嵌入式软件开发(Linux/单片机/PLC/DSP…)算法工程师,4
薪资福利经理/主管绩效考核经理/主管,3
钳工,21
FAE 现场应用工程师半导体技术,2
网络工程师(IT工程师)网络管理(Helpdesk),6
客户代表,11
贸易/外贸专员/助理贸易/外贸经理/主管,6
集成电路IC设计/应用工程师技术总监/经理,1
销售工程师贸易/外贸专员/助理,1
普工/操作工组装工,31
市场企划专员市场助理,3
产品/品牌经理市场/营销/拓展总监,1
结构工程师工业工程师,1
数字前端工程师,60
电子软件开发(ARM/MCU...)电子工程师/技术员,2
高级硬件工程师电子软件开发(ARM/MCU...),2
工业设计/产品设计文案/策划,1
切割技工,10
硬件测试工程师电池/电源开发,2
其他销售经理,1
审计经理/主管审计专员/助理,1
系统架构设计师软件工程师,1
产品工艺/制程工程师激光/光电子技术,1
技术支持/维护经理网络管理(Helpdesk),1
ERP技术开发ERP实施顾问,2
高级软件工程师数据库工程师(DBA),1
市场分析/调研人员产品/品牌经理,1
性能测试半导体测试工程师,1
单证员船务/空运陆运操作,1
文员,71
技术研发工程师产品工艺/制程工程师,6
文案/策划市场/营销/拓展专员,1
化学老师,2
网店客服,13
硬件测试工程师产品规划工程师,2
集成电路IC设计/应用工程师半导体工艺工程师,2
集成电路IC设计/应用工程师电子工程师/技术员,10
市场分析/调研人员市场企划专员,2
出纳员财务助理/财务文员,14
芯片测试工程师IC验证工程师,2
市场/营销/拓展主管,17
销售主管业务拓展主管/经理,5
嵌入式软件开发(Linux/单片机/PLC/DSP…)售前/售后技术支持工程师,1
客服专员/助理网络/在线客服,6
商务主管/专员销售代表,1
人事专员人事助理,5
销售主管客户代表,1
供应链主管/专员,21
培训专员/助理/培训师,18
硬件测试工程师生产主管,1
结构工程师工业设计/产品设计,10
实验室负责人/工程师,19
技术支持/维护经理技术支持/维护工程师,2
激光/光电子技术半导体技术,5
生产文员统计员,1
商务助理市场助理,1
可测性设计工程师(DFT),21
Java开发工程师,100
大客户管理销售经理,5
中学教师小学教师,7
销售代表销售助理,10
总裁助理/总经理助理行政总监,1
化工技术应用/化工工程师技术研发工程师,4
射频工程师无线通信工程师,7
采购主管,45
高级软件工程师系统架构设计师,5
仿真应用工程师其他,1
项目主管网络工程师(IT工程师),1
生产经理/车间主任生产总监,2
项目经理/主管建筑工程管理/项目经理,1
渠道/分销经理销售经理,2
建筑工程管理/项目经理,17
嵌入式软件开发(Linux/单片机/PLC/DSP…)汽车电子工程师,11
SEO/SEM网络推广经理/主管,1
业务跟单贸易/外贸专员/助理,7
网络/在线客服网店客服,4
网店客服网络/在线客服,5
安全员环境/健康/安全经理/主管（EHS）,2
氩弧焊工技工,1
人事经理行政经理/主管/办公室主任,5
商务助理销售行政专员,3
客服主管网络销售/在线销售,1
FAE 现场应用工程师电池/电源开发,3
售前/售后技术支持工程师安防系统工程师,1
网络管理(Helpdesk)网络工程师(IT工程师),6
嵌入式硬件开发(主板机…)硬件工程师,18
嵌入式软件开发(Linux/单片机/PLC/DSP…)高级软件工程师,17
文员行政专员/助理,3
电话销售网络/在线客服,1
数控操机数控编程,10
结构工程师电子工程师/技术员,1
技术文员/助理项目工程师,1
采购员商务主管/专员,1
其他行政专员/助理,1
审计经理/主管,14
售前/售后技术支持工程师汽车项目管理,1
Web前端开发高级软件工程师,1
系统工程师,87
软件测试工程师功能测试,1
通信技术工程师硬件工程师,2
注塑工,8
硬件测试工程师集成电路IC设计/应用工程师,11
美工/电商设计师,29
销售助理商务助理,17
空调/热能工程师,5
电池/电源开发集成电路IC设计/应用工程师,3
电力工程师/技术员技工,1
渠道/分销主管销售工程师,1
物料主管/专员物流专员/助理,2
英语翻译,10
产品/品牌主管半导体产品经理/产品工程师,1
工程/机械绘图员半导体技术,2
其他工程/设备工程师,3
医疗器械销售代表医疗器械销售经理/主管,2
买手采购员,2
总工程师/副总工程师电子技术研发工程师,1
售前/售后技术支持工程师售前/售后技术支持工程师,2
大客户销售销售总监,2
文案/策划产品/品牌专员,1
半导体产品经理/产品工程师采购经理,1
高级软件工程师技术支持/维护工程师,1
财务主管/总账主管会计,6
订单处理员仓库管理员,1
技术支持/维护经理,15
电子工程师/技术员FAE 现场应用工程师,7
平面设计师资料员,1
测试经理项目执行/协调人员,1
资料员,5
软件工程师系统集成工程师,1
